topic	link	header	article
artificial-intelligence	/article/holly-herndon-ai-deepfakes-music	This Singer Deepfaked Her Own Voice—and Thinks You Should Too	Holly Herndon, the self-described “computer musician,” swears her latest creation—an AI-powered vocal clone that is, at least theoretically, infinitely capable—was not made with the intent of freaking anyone out. “Definitely not,” Herndon says on a call from her home in Berlin, laughing. “I’m trying to do the opposite.”Yippee Ki-YayThe Bruce Willis Deepfake Is Everyone’s ProblemBy Will BedingfieldWIRED Q&ABrian Eno on Why He Wrote a Climate Album With Deepfake BirdsongsBy Sophie ChararaDigital Culture TikTok Turned Lil Yachty’s ‘Poland’ Into a National AnthemBy Amos BarshadNamed Holly+, the vocal clone sings in Herndon’s voice but can be prompted to sing anything. In a recent TED talk, Herndon displayed Holly+ singing songs in languages she doesn’t speak. Then a fellow musician, PHER, took the stage, first singing as himself, then feeding his vocals through a second microphone to Holly+ to sing “as” Herndon, then singing through both microphones at once, effectively dueting live with Holly+. Herndon has made Holly+ available for anyone to use and collaborate with, and artists are already taking her up on the offer. “There’s a narrative around a lot of this stuff that it’s scary dystopian,” Herndon says. “I’m trying to present another side: This is an opportunity.” She recently released Holly+’s cover of Dolly Parton’s “Jolene” along with an appropriately joyful trippy video in which the artist Sam Rolfes portrays Holly+ via mo-cap technology. The appeal is in the surprising simplicity, in the way the unorthodox process is laid out for you to break down. As Kat Rodgers wrote for Water +Music, “It’s fascinating listening to the track and trying to pick out which parts feel computer generated.” Herndon’s right. It’s not creepy. It’s pop culture. That said, it is also a warning. Now that Herndon has deepfaked her own voice, other artists could too. But so could anyone wanting to make a song with a vocalist who never agreed to be on the track. Similar to the fears that actors have about machines creating whole performances with their likenesses, many singers may not want someone to be able to fully mimic their vocal style. And Herndon doesn’t want to be the only “computer musician” actively thinking about all this stuff. “I’m worried,” Herndon says. “We had a practice run in the last century” with creating legal protections for artists and their intellectual property “and we messed a lot of it up. I could see people signing away contracts right now that could have really detrimental impacts on their future ability to make work as themselves. I do want people to understand how powerful these systems are and how having sovereignty over training data is really important. The thorny questions that are being asked right now—it’s really important that we get them right.” 
artificial-intelligence	/bc/article/maximizing-the-potential-of-ai-for-business	Maximizing the Potential of AI for Business	Artificial Intelligence is high on the agenda of CEOs in many prominent organizations worldwide. The adoption of AI by business leaders continues apace, and its impact on the bottom line is growing. McKinsey research shows that most firms have adopted artificial intelligence in at least one of their business functions—up from 50 percent in 2020.Moreover, nearly two-thirds of respondents say their companies’ investments in AI will continue to increase over the next three years, suggesting we’re just in the early stages of the AI revolution. Only 11 percent of the businesses succeeded in bringing AI into the production phase, scaling it within their companies and integrating it into their DNA.Businesses are already adopting AI, not just to improve their bottom line, but also to carry out their core competencies in a more sustainable, inclusive, and efficient way. “When we talk about helping our clients achieve sustainable and inclusive growth, artificial intelligence is naturally part of the conversation,” says senior partner Alexander Sukharevsky, who, alongside Alex Singla, globally leads QuantumBlack, AI by McKinsey. “It’s transforming all businesses, including the way we serve organizations,” says Sukharevsky.QuantumBlack helps businesses to transform faster and innovate smarter with a mix of data scientists, engineers, product managers and designers. QuantumBlack Labs is the centre of learning dedicated to driving innovation and experimentation in AI and where cutting-edge tools accelerate impact at every stage of the AI transformation journey. QuantumBlack is there to track those shifts as the world changes, with more than 4,000 AI-fluent industry experts and over 1,000 data science and engineering technologists working on over 10,000 AI-related projects over the last three years.While most companies are experimenting with or actively deploying AI in proofs of concept across their organizations, not everyone is as forward-thinking. Many business leaders are investing in yesterday’s technology or installing complex tools without also retraining or upskilling their teams. These organizations often expend valuable time, money and human labour while failing to scale—and maximizing the true potential of AI.Because artificial intelligence isn’t a quick fix, nor is it a one-size-fits-all solution, a holistic program is needed to accompany any AI implementation, if it is to successfully achieve a fundamental business transformation. “Putting AI into production requires a change management program that brings every team member into the journey, in order to achieve the most out of technology,” explains Alex Singla, senior partner and global co-leader of QuantumBlack. “And, as AI evolves, the technical talent required to help harness its power is also growing and developing with it.”Those high-performing companies that know how to use AI properly have the capability to unlock huge returns with the right level of human oversight. Companies that see the most significant returns from their use of artificial intelligence are more likely to use a product management mindset when developing AI tools, testing the performance of their AI systems internally before rolling them out to a live production system, and then carefully tracking the performance of those AI models to ensure they’re making a real, meaningful difference.Human oversight of artificial intelligence is needed for a variety of reasons. It can help businesses ensure they get the most out of AI, and provide a guiding hand and a sense check for where AI can—on occasion—get things wrong. It’s therefore vital that someone with knowledge of how artificial intelligence works, and of both its potential and drawbacks, has oversight of your AI transformation.QuantumBlack, AI by McKinsey, blends the creativity and expertise in an organization’s people, with the strength and capability of artificial intelligence technology. The company has developed more than 25 proprietary tools across thousands of projects that accelerate impact, improve quality, and reduce risk in their client’s business. The result? Real-world impact that sticks.“One thing that hasn’t changed: our original principle of combining the brilliance of the human mind and domain and industry expertise with innovative technology to solve the most difficult problems,” says Alex Singla. “We call it Hybrid Intelligence, starting from day one.”Hybrid Intelligence allows clients to feel more confident in the insights and lessons they learn from AI—and the changes they enact. And that confidence radiates from companies to consumers. Consumer faith in cyber security, data privacy, digital trust, and the deployment of responsible AI has taken a hit in recent years, and restoring that trustworthiness depends mainly on the decisions that companies make today to ensure confidence in the future. Establishing digital trust—and evidencing it—allows companies to have a prime advantage in a world that can be transformed by AI, but which needs to trust it.Because no matter how much the world changes and how far the inroads into our lives AI makes, there must be a human in the loop—one who has domain and industry expertise in order to enable businesses to scale their insights and reap the benefits. After all, when it’s your bottom line at stake, you want to ensure the risks don’t outweigh the potential rewards.
artificial-intelligence	/article/bots-online-advertising	How Bots Corrupted Advertising	When Aleksandr Zhukov went on trial last year, he stood accused of defrauding US companies, including The New York Times and pet care brand Purina, out of millions of dollars. According to the court, the then 41-year-old set up a company that promised to show online adverts to humans, but he instead placed those adverts on an elaborate network of fake websites where they were seen only by bots. Yet Zhukov’s defense did not center around his innocence or his remorse. Rather, he said he was giving the online economy exactly what it wanted: cheap traffic, whatever the source.“There was nothing to conceal,” he said on the stand in May 2021. “We were making business. We are not making scam or fraud.”The federal courthouse in Brooklyn disagreed and, in November 2021, Zhukov was sentenced to 10 years in prison. By extraditing the Russian cybercriminal from Bulgaria, the US justice system sent a message that this type of crime has consequences. Yet Zhukov’s testimony hints at an uncomfortable truth: The online economy is willing to look the other way while bots distort it and line the pockets of cybercriminals.The Elon Musk v. Twitter trial is set to resurrect such concerns. Musk, who claims that Twitter has undercounted millions of fake accounts on its platform, was handed extra ammunition when Twitter’s former head of security Peiter Zatko, known as Mudge, turned whistleblower in August. Mudge claimed that executives’ bonuses were tied to increases in daily users, meaning they had no incentive to crack down on bots—an allegation Twitter’s CEO, Parag Agrawal, has denied.Bots are polluting the internet. Fake online users make up as much as 40 percent of all web traffic, according to some estimates. Researchers specializing in advertising fraud describe a Kafkaesque system where businesses pay millions to advertise to bots and research their “opinions.” Yet the digital advertising industry has grown so accustomed to working with inflated numbers that few are willing to unmask the fake clicks powering large swathes of the online economy.In June, the Association of National Advertisers (ANA), a US industry group, published a blog post that estimated that ad fraud is costing US advertisers $120 billion each year. Hours after it was published, those statements were removed. John Wolfe, the ANA’s director of communications, tells WIRED that the figures were removed because they were out of date, but declines to provide any new figures.
artificial-intelligence	/article/twitter-bots-elon-musk-trial	Not All Bots Are Bad, and Twitter Knows It	They’ve been alleged to have helped shift the course of the 2016 presidential election, and are a key component of Elon Musk’s ongoing attempts to wriggle out of his $44 billion purchase of Twitter. They’re lambasted as the single thing ruining social media, and lauded as a key weapon in state-sponsored cyberwarfare.Bots have become public enemy number one in recent years, and remain in the spotlight thanks to Twitter’s former head of security Peiter “Mudge” Zadko’s claims that the company’s “senior management had no appetite to properly measure the prevalence of bot accounts.” Twitter’s apparent inaction in tackling bots—and its supposed underestimation of the proportion of users that are bots—is one of Musk’s main arguments for attempting to sidestep his deal to buy the social media platform.But are bots all that bad?“The use of the term ‘bot’ causes a lot of confusion for folks,” says Christopher Bouzy of Bot Sentinel, which tracks inauthentic behavior on Twitter. “The media has done a disservice in that regard.” By lumping together useful automated accounts that track political missteps—such as those that monitor when politicians delete tweets or alter Wikipedia pages about themselves—and state-sponsored, inauthentic accounts that exist solely to push a disruptive line about the world into the single definition of ‘bot,’ we’re doing a disservice to those automated accounts designed for good. “We try to tell folks in the media to start talking about ‘inauthentic accounts’ or ‘fake accounts,’” says Bouzy. “But don’t use the term ‘bots.’”The US Department of Homeland Security’s Office of Cyber and Infrastructure Analysis sums up the duality of bots: They “can be used on social media platforms to do various useful and malicious tasks while simulating human behavior.”Those useful tasks include ensuring transparency around world leaders and major businesspeople. Politwoops was one of the first examples of social media bots designed to maintain accountability in public office, set up in March 2011 by web developer Breyten Ernsting to track tweets deleted by politicians. (Ernsting did not respond to a request for comment.) A UK version focused on parliamentarians, Tweets MP Delete, arrived two years later, with localized versions in New Zealand, South Africa, Ireland, Belgium, Pakistan, and Germany.Bots also keep track of edits to Wikipedia pages by IP addresses linked to parliaments in countries including the UK, US, and Australia. Just this week, Parliament WikiEdits, the UK version, spotted an attempted cleanup of the Wikipedia page of Kwasi Kwarteng, the UK chancellor, by someone with a UK parliament IP. The edits to Kwarteng’s Wikipedia page removed a section suggesting the politician had put undue pressure on a parliamentary standards watchdog investigating a colleague over “serious breaches” of lobbying rules.
artificial-intelligence	/article/alphabet-deepmind-ai-humanoids-soccer-camp	Why DeepMind Is Sending AI Humanoids to Soccer Camp	DeepMind’s attempt to teach an AI to play soccer started with a virtual player writhing around on the floor—so it nailed at least one aspect of the game right from kickoff. But pinning down the mechanics of the beautiful game—from basics like running and kicking to higher-order concepts like teamwork and tackling—proved a lot more challenging, as new research from the Alphabet-backed AI firm demonstrates. The work—published this week in the journal Science Robotics—might seem frivolous, but learning the fundamentals of soccer could one day help robots to move around our world in more natural, more human ways.“In order to ‘solve’ soccer, you have to actually solve lots of open problems on the path to artificial general intelligence [AGI],” says Guy Lever, a research scientist at DeepMind. “There’s controlling the full humanoid body, coordination—which is really tough for AGI—and actually mastering both low-level motor control and things like long-term planning.”An AI has to re-create everything human players do—even the things we don’t have to consciously think about, like precisely how to move each limb and muscle in order to connect with a moving ball—making hundreds of decisions a second. The timing and control required for even the most basic movements can actually be surprisingly tricky to nail down, as anyone who has ever played the browser game QWOP will remember. “We do that without thinking about it, but that’s a really hard problem for AI, and we’re not really sure exactly how humans do that,” Lever says.DeepMind’s simulated humanoid agents were modeled on real humans, with 56 points of articulation and a constrained range of motion—meaning that they couldn’t, for instance, rotate their knee joint through impossible angles à la Zlatan Ibrahimovic. To start with, the researchers simply gave the agents a goal—run, for example, or kick a ball—and let them try and figure out how to get there through trial and error and reinforcement learning, as was done in the past when researchers taught simulated humanoids to navigate obstacle courses (with comical, quite unnatural results).
artificial-intelligence	/article/babylon-disrupted-uk-health-system-then-left	Babylon Disrupted the UK’s Health System. Then It Left	Earlier this month, Babylon Health canceled its last hospital contract with the UK National Health Service (NHS) eight years early, with CEO Ali Parsa calling such projects “a distraction” that aren't lucrative enough to bother with as the company seeks to cut costs.Babylon’s quiet exit from all but one of its NHS projects may be welcomed by some who saw the AI health care company as an example of privatization in the UK’s public health system. But ending contracts early after a chaos-causing rollout has also raised eyebrows—and condemnation from one MP—after years of messy disruption that left a health authority facing a £22 million shortfall due to the volume of people signing up to use the digital service. The use of Babylon triggered complaints from health regulator MHRA, and clinicians reported that the AI was missing signs of serious illness. One complaint even questioned whether the AI symptoms app even works.Babylon offered two main services in the UK: An AI-based chatbot used for triaging patients, as well as a digital-first medical practice called GP at Hand, in which registered patients can chat to a doctor via video calls. Founded in 2013, the company controversially launched its GP services in the UK in 2016, followed by moves into the Rwandan, Canadian and US markets, with a SPAC public offering last year valuing the company at $4.2 billion. Since that high, the company's stock price has fallen 90 percent amid rumors it may go private again, and it has sold off its Canadian business in favor of a local licensing agreement. It is now stepping back from most of its public health projects in the NHS.Despite the concerns raised by clinicians and the health regulator, Babylon signed three projects with NHS hospital trusts. In 2020, Royal Berkshire NHS Foundation Trust agreed a one-year pilot project for an accident and emergency triage app, which a spokesperson said it chose not to renew, though the app at the core of that trial was shut down by Babylon, so renewal wasn't possible.The University Hospitals Birmingham NHS Foundation Trust (UHB) also signed up to Babylon for the virtual A&E app, designed to reduce attendance at emergency and urgent care services. The trust ended the contract in July, a spokesperson said, in favor of a new emergency department registration and triage project.Lastly, the Royal Wolverhampton NHS Trust (RWT) followed up a project on a Covid-19 app in 2020 with a ten-year partnership in 2021 for a digital-first primary care service covering 55,000 patients, letting them view their own records and book appointments via an app that would monitor conditions and even diagnose illnesses. Two years in, Babylon ended the contract as it wasn't making enough revenue, according to Tim Rideout, general manager for the UK at Babylon, in an interview with WIRED.
artificial-intelligence	/article/smiling-dogs-horses-made-of-clouds-captcha-has-gone-too-far	Smiling Dogs? Horses Made of Clouds? Captcha Has Gone Too Far	When Jared Bauman was asked to look at nine dog pictures and identify which ones were smiling as part of a captcha test to log in to a website a few weeks ago, he was stumped. “To be honest, I had a bit of a moment,” the founder of a creative marketing agency in San Diego, California, says. “Do dogs really smile?” Most of the dogs looked neither happy nor sad—some were grimacing, or simply had their mouths open. No one is sure whether dogs can actually smile, meaning that correctly identifying smiling dogs in a captcha is a near-impossible task.This kind of conundrum is becoming a bigger issue as captchas—tests designed to weed out robot web surfers from humans on websites—have grown increasingly cryptic. The smiling dogs were the final straw for an increasing number of people posting their disbelief on social media in recent months.The increasingly complicated tests are the work of hCaptcha, a privacy-protecting alternative to Google’s captcha system, which claims to run on around 15 percent of the internet as of January 2022. And it’s not just asking you to identify which canines are bearing their own canines. A week after he was prompted to pick smiling dogs, Bauman was given a more mind-boggling task: to click images of horses made out of clouds. The marketer struggled in large part because two of the pictures had cloud-made elephants, perhaps designed to throw him off the scent. (Bauman managed to get it right the second time.)Most people aren’t that persistent. “Something about the dogs broke me a little,” admits Eileen Ridge, who offers tech advice for generally older clients based near her in Virginia.Ridge regularly fields calls from clients who struggle to discern the difference between a scuff of paint on a sidewalk and a formalized crosswalk that’s often requested in a traditional image-based captcha, and worry that one wrong answer may lock them out of an account. When confronted with something as intangible as whether a dog is smiling or not, she worries many will simply give up. She’s not the only one.Captchas, which were designed to introduce an element of friction to the web browsing experience that would put off an automated system but would be basic enough not to put off humans, are fast becoming unusable, rendering the internet a wasteland of difficult puzzles which users must decipher to do the most basic things. “We’ve literally all been there through gritted teeth muttering: ‘Those were all the pictures with traffic lights,’” says Effie Le Moignan, research associate in social computing at Newcastle University, who calls the captcha era of the internet a “human-computer interaction atrocity.”
artificial-intelligence	/article/ai-machine-learning-us-intelligence-community	The Power and Pitfalls of AI for US Intelligence	From cyber operations to disinformation, artificial intelligence extends the reach of national security threats that can target individuals and whole societies with precision, speed, and scale. As the US competes to stay ahead, the intelligence community is grappling with the fits and starts of the impending revolution brought on by AI.The US intelligence community has launched initiatives to grapple with AI’s implications and ethical uses, and analysts have begun to conceptualize how AI will revolutionize their discipline, yet these approaches and other practical applications of such technologies by the IC have been largely fragmented.As experts sound the alarm that the US is not prepared to defend itself against AI by its strategic rival, China, Congress has called for the IC to produce a plan for integration of such technologies into workflows to create an “AI digital ecosystem” in the 2022 Intelligence Authorization Act.The term AI is used for a group of technologies that solve problems or perform tasks that mimic humanlike perception, cognition, learning, planning, communication, or actions. AI includes technologies that can theoretically survive autonomously in novel situations, but its more common application is machine learning or algorithms that predict, classify, or approximate empiric-like results using big data, statistical models, and correlation.While AI that can mimic humanlike sentience remains theoretical and impractical for most IC applications, machine learning is addressing fundamental challenges created by the volume and velocity of information that analysts are tasked with evaluating today.At the National Security Agency, machine learning finds patterns in the mass of signals intelligence collects from global web traffic. Machine learning also searches international news and other publicly accessible reporting by the CIA's Directorate of Digital Innovation, responsible for advancing digital and cyber technologies in human and open-source collection, as well as its covert action and all-source analysis, which integrates all kinds of raw intelligence collected by US spies, whether technical or human. An all-source analyst evaluates the significance or meaning when that intelligence is taken together, memorializing it into finished assessments or reports for national security policymakers.In fact, open source is key to the adoption of AI technologies by the intelligence community. Many AI technologies depend on big data to make quantitative judgments, and the scale and relevance of public data cannot be replicated in classified environments.
artificial-intelligence	/article/brian-and-charles-david-earl-chris-hayward	Brian and Charles Imagines an Optimistic Future for AI	In the era of robot dogs and jocked-up AI machines doing shudder-inducing feats of parkour, sometimes it’s comforting to consider a potential future where bots are just warm, squishy friends, or—better yet—a future where they all look like Charles from Brian and Charles.Standing about 7 feet tall and with a boxy abdomen that’s made of what seems to be a washing machine, Charles trots around the Welsh countryside like a newborn foal, as content with a plate of boiled cabbage as most of us would be with a seven-course dinner. His creation comes when Brian (played by writer David Earl), experiencing a bout of depression, decides to take a wack at inventing something new. Lightning strikes—perhaps literally—and Brian and Charles’ lives are changed forever.As Brian and Charles hits cinemas, WIRED caught up with Earl and cowriter Chris Hayward to talk about optimism, character comedy, and how the pair worked to find the intersection of American Movie and AI.WIRED: David, you've been doing the Brian character for some time, though he's gone through some changes and tweaks over the years. How would you describe where he is in this film emotionally and mentally?
artificial-intelligence	/article/voice-recognition-privacy-speech-changer	The Race to Hide Your Voice	Your voice reveals more about you than you realize. To the human ear, your voice can instantly give away your mood, for example—it’s easy to tell if you’re excited or upset. But machines can learn a lot more: inferring your age, gender, ethnicity, socio-economic status, health conditions, and beyond. Researchers have even been able to generate images of faces based on the information contained in individuals’ voice data.As machines become better at understanding you through your voice, companies are cashing in. Voice recognition systems—from Siri and Alexa to those using your voice as your password—have proliferated in recent years as artificial intelligence and machine learning have unlocked the ability to understand not just what you are saying but who you are. Big Voice may be a $20 billion industry within a few years. And as the market grows, privacy-focused researchers are increasingly searching for ways to protect people from having their voice data used against them.Vocal ThreatsBoth the words you say and how you say them can be used to identify you, says Emmanuel Vincent, a senior research scientist specializing in voice technologies at France’s National Institute for Research in Digital Science and Technology (Inria), but this is only the beginning. “You will also find other pieces of information about your emotions or your medical condition,” Vincent says.“These additional pieces of information help build a more complete profile—then this would be used for all sorts of targeted advertisements,” Vincent says. As well as your voice data potentially feeding into the vast realm of data used to show you online ads, there’s also the risk that hackers could access the location where your voice data is stored and use it to impersonate you. A small number of these cloning incidents have already happened, proving the value your voice holds. Simple robocall scams have also recorded people saying “yes” to use the confirmation in payment scams.Last year, TikTok changed its privacy policies and started collecting the voiceprints—a loose term for the data your voice contains—of people in the US alongside other biometric data, such as your faceprint. More broadly, call centers are using AI to analyze people’s “behavior and emotion” during phone calls and evaluate the “tone, pace, and pitch of every single word” to develop profiles of people and increase sales. “We’re almost in a situation where the systems to recognize who you are and link everything together exist, but the protection is not there—and it’s still quite far away from being readily usable,” says Henry Turner, who researched the security of voice systems at the University of Oxford.Hidden MeaningYour voice is produced through a complex process involving the lungs and your voice box, throat, nose, mouth, and sinuses. More than a hundred muscles are activated when you speak, says Rébecca Kleinberger, a voice researcher at the MIT Media Lab. “It's also very much the brain,” Kleinberger says. Researchers are experimenting with four ways to enhance privacy for your voice, says Natalia Tomashenko, a researcher at Avignon University, France, who has been studying voice and is the first author of a research paper on the results of a voice privacy engineering challenge. None of the methods are perfect, but they are being explored as possible ways to boost privacy in the infrastructure processing your voice data.First is obfuscation, which tries to completely hide who the speaker is. Think of a Hollywood depiction of a hacker totally distorting their voice over a phone call as they explain a devilish plot or ransom (or hacktivist collective Anonymous’s promotional videos). Simple voice-changing hardware allows anyone to quickly change the sound of their voice. More advanced speech-to-text-to-speech systems can transcribe what you’re saying and then reverse the process and say it in a new voice.Second, Tomashenko says, researchers are looking at distributed and federated learning—where your data doesn’t leave your device but machine learning models still learn to recognize speech by sharing their training with a bigger system. Another approach involves building encrypted infrastructure to protect people’s voices from snooping. However, most efforts are focused on voice anonymization.Anonymization attempts to keep your voice sounding human while stripping out as much of the information that could be used to identify you as possible. Speech anonymization efforts currently involve two separate strands: anonymizing the content of what someone is saying by deleting or replacing any sensitive words in files before they are saved and anonymizing the voice itself. Most voice anonymization efforts at the moment involve passing someone’s voice through experimental software that will change some of the parameters in the voice signal to make it sound different. This can involve altering the pitch, replacing segments of speech with information from other voices, and synthesizing the final output.
artificial-intelligence	/article/europe-police-facial-recognition-prum	Europe Is Building a Huge International Facial Recognition System	For the past 15 years, police forces searching for criminals in Europe have been able to share fingerprints, DNA data, and details of vehicle owners with each other. If officials in France suspect someone they are looking for is in Spain, they can ask Spanish authorities to check fingerprints against their database. Now European lawmakers are set to include millions of photos of people’s faces in this system—and allow facial recognition to be used on an unprecedented scale.The expansion of facial recognition across Europe is included in wider plans to “modernize” policing across the continent, and it comes under the Prüm II data-sharing proposals. The details were first announced in December, but criticism from European data regulators has gotten louder in recent weeks, as the full impact of the plans have been understood.“What you are creating is the most extensive biometric surveillance infrastructure that I think we will ever have seen in the world,” says Ella Jakubowska, a policy adviser at the civil rights NGO European Digital Rights (EDRi). Documents obtained by EDRi under freedom of information laws and shared with WIRED reveal how nations pushed for facial recognition to be included in the international policing agreement.The first iteration of Prüm was signed by seven European countries—Belgium, Germany, Spain, France, Luxembourg, the Netherlands, and Austria—back in 2005 and allows nations to share data to tackle international crime. Since Prüm was introduced, take-up by Europe's 27 countries has been mixed.Prüm II plans to significantly expand the amount of information that can be shared, potentially including photos and information from driving licenses. The proposals from the European Commission also say police will have greater “automated” access to information that’s shared. Lawmakers say this means police across Europe will be able to cooperate closely, and the European law enforcement agency Europol will have a “stronger role.”The inclusion of facial images and the ability to run facial recognition algorithms against them are among the biggest planned changes in Prüm II. Facial recognition technology has faced significant pushback in recent years as police forces have increasingly adopted it, and it has misidentified people and derailed lives. Dozens of cities in the US have gone as far as banning police forces from using the technology. The EU is debating a ban on the police use of facial recognition in public places as part of its AI Act.However, Prüm II allows the use of retrospective facial recognition. This means police forces can compare still images from CCTV cameras, photos from social media, or those on a victim’s phone against mug shots held on a police database. The technology is different from live facial recognition systems, which are often connected to cameras in public spaces; these have faced the most criticism.The European proposals allow a nation to compare a photo against the databases of other countries and find out if there are matches—essentially creating one of the largest facial recognition systems in existence. One document obtained by EDRi says the number of potential matches could range from between 10 and 100 faces, although this figure needs to be finalized by politicians. A European Commission spokesperson says that a human will review the potential matches and decide if any of them are correct, before any further action is taken. “In a significant number of cases, a facial image of a suspect is available,” France’s interior minister said in the documents. It claimed to have solved burglary and child sexual abuse cases using its facial recongition system.The Prüm II documents, dated from April 2021, when the plans were first being discussed, show the huge number of face photos that countries hold. Hungary has 30 million photos, Italy 17 million, France 6 million, and Germany 5.5 million, the documents show. These images can include suspects, those convicted of crimes, asylum seekers, and “unidentified dead bodies,” and they come from multiple sources in each country.
artificial-intelligence	/article/deepmind-ai-nuclear-fusion	DeepMind Has Trained an AI to Control Nuclear Fusion	"The inside of a tokamak—the doughnut-shaped vessel designed to contain a nuclear fusion reaction—presents a special kind of chaos. Hydrogen atoms are smashed together at unfathomably high temperatures, creating a whirling, roiling plasma that’s hotter than the surface of the sun. Finding smart ways to control and confine that plasma will be key to unlocking the potential of nuclear fusion, which has been mooted as the clean energy source of the future for decades. At this point, the science underlying fusion seems sound, so what remains is an engineering challenge. “We need to be able to heat this matter up and hold it together for long enough for us to take energy out of it,” says Ambrogio Fasoli, director of the Swiss Plasma Center at École Polytechnique Fédérale de Lausanne in Switzerland.That’s where DeepMind comes in. The artificial intelligence firm, backed by Google parent company Alphabet, has previously turned its hand to video games and protein folding, and has been working on a joint research project with the Swiss Plasma Center to develop an AI for controlling a nuclear fusion reaction.In stars, which are also powered by fusion, the sheer gravitational mass is enough to pull hydrogen atoms together and overcome their opposing charges. On Earth, scientists instead use powerful magnetic coils to confine the nuclear fusion reaction, nudging it into the desired position and shaping it like a potter manipulating clay on a wheel. The coils have to be carefully controlled to prevent the plasma from touching the sides of the vessel: this can damage the walls and slow down the fusion reaction. (There’s little risk of an explosion as the fusion reaction cannot survive without magnetic confinement).But every time researchers want to change the configuration of the plasma and try out different shapes that may yield more power or a cleaner plasma, it necessitates a huge amount of engineering and design work. Conventional systems are computer-controlled and based on models and careful simulations, but they are, Fasoli says, “complex and not always necessarily optimized.”DeepMind has developed an AI that can control the plasma autonomously. A paper published in the journal Nature describes how researchers from the two groups taught a deep reinforcement learning system to control the 19 magnetic coils inside TCV, the variable-configuration tokamak at the Swiss Plasma Center, which is used to carry out research that will inform the design of bigger fusion reactors in the future. “AI, and specifically reinforcement learning, is particularly well suited to the complex problems presented by controlling plasma in a tokamak,” says Martin Riedmiller, control team lead at DeepMind.The neural network—a type of AI setup designed to mimic the architecture of the human brain—was initially trained in a simulation. It started by observing how changing the settings on each of the 19 coils affected the shape of the plasma inside the vessel. Then it was given different shapes to try to re-create in the plasma. These included a D-shaped cross section close to what will be used inside ITER (formerly the International Thermonuclear Experimental Reactor), the large-scale experimental tokamak under construction in France, and a snowflake configuration that could help dissipate the intense heat of the reaction more evenly around the vessel.DeepMind's neural network was able to manipulate the plasma inside a fusion reactor into a number of different shapes that fusion researchers have been exploring.
Illustration: DeepMind & SPC/EPFL DeepMind’s AI was able to autonomously figure out how to create these shapes by manipulating the magnetic coils in the right way—both in the simulation and when the scientists ran the same experiments for real inside the TCV tokamak to validate the simulation. It represents a “significant step,” says Fasoli, one that could influence the design of future tokamaks or even speed up the path to viable fusion reactors. “It’s a very positive result,” says Yasmin Andrew, a fusion specialist at Imperial College London, who was not involved in the research. “It will be interesting to see if they can transfer the technology to a larger tokamak.”Fusion offered a particular challenge to DeepMind’s scientists because the process is both complex and continuous. Unlike a turn-based game like Go, which the company has famously conquered with its AlphaGo AI, the state of a plasma constantly changes. And to make things even harder, it can’t be continuously measured. It is what AI researchers call an “under–observed system.”“Sometimes algorithms which are good at these discrete problems struggle with such continuous problems,” says Jonas Buchli, a research scientist at DeepMind. “This was a really big step forward for our algorithm, because we could show that this is doable. And we think this is definitely a very, very complex problem to be solved. It is a different kind of complexity than what you have in games.”This isn’t the first time artificial intelligence has been used to try to control nuclear fusion. Since 2014, Google has been working with California-based fusion company TAE Technologies to apply machine learning to a different type of fusion reactor—speeding up the analysis of experimental data. Research at the Joint European Torus (JET) fusion project in the UK has used AI to try to predict the behavior of plasma. The concept even appears in fiction: In 2004’s Spider-Man 2, villain Doc Ock creates an AI-powered, brain-controlled exoskeleton to control his experimental fusion reactor, which works great until the AI takes over his mind and starts killing people."
